date_opened,ticker,strategy,vol_filter,entry_signal,entry_score,entry_gate_flag,entry_price,regime_at_entry,rsi_at_entry,volume_ratio,kelly_fraction,position_size_gbp,date_closed,exit_reason,exit_price,stop_level,target_level,pnl_usd,return_pct,days_held,peak_gain,peak_loss,strategy_return,bh_return,market_ret_during_hold,notes
2005-11-10 19:00:00+00:00,UDR,optimised_new,daily-rescreened,BUY,8.0,BUY,13.7813,0.8414,57.62,2.47,0.1,8186.0922,2005-11-21 18:00:00+00:00,"trailing_stop(3.8% from peak, still +0.4% from entry)",13.834,12.6788,13781.293,14.900311799998764,0.0038240224071749217,10,0.04326152104663563,-0.03162981721608268,-0.006661716558464703,-0.08233907656861794,0.003821217596391646,
2005-11-10 18:00:00+00:00,WST,optimised_new,daily-rescreened,BUY,6.0,BUY,12.0284,0.093,54.39,1.62,0.1,7361.3808,2005-11-11 00:00:00+00:00,regime_forced(signal=-0.01),11.4781,11.0661,12028.4107,-351.169578,-0.04575005819560374,0,0.009078514183100106,-0.04575005819560374,0.0015826749000080742,-0.11136557720135232,-0.04575087888059104,
2005-11-13 20:00:00+00:00,MTD,optimised_new,daily-rescreened,BUY,8.0,BUY,57.2981,0.3448,56.81,5.04,0.1,8193.6283,2005-11-16 19:00:00+00:00,regime_forced(signal=-0.10),57.0384,52.7142,57298.0638,-53.487219500000265,-0.004532436503130037,2,0.008003755796440094,-0.04348486249980363,0.013093581694723966,0.20294794611902067,-0.0045315545987315575,
2005-11-14 00:00:00+00:00,ACGL,optimised_new,daily-rescreened,BUY,8.0,BUY,6.2557,0.7413,61.81,3.6,0.1,7387.9817,2005-11-20 19:00:00+00:00,regime_forced(signal=-0.03),5.9244,5.7552,6255.7,-405.6499981,-0.05295970075291329,6,0.052735904854772496,-0.07364483590965042,0.024400057129952746,0.24337189709217077,-0.0529657726823588,
2005-11-14 21:00:00+00:00,TAP,optimised_new,daily-rescreened,BUY,8.0,BUY,23.9852,0.9995,55.38,2.02,0.1,5972.3148,2006-01-16 22:00:00+00:00,"trailing_stop(3.6% from peak, still +0.2% from entry)",24.0347,22.0664,23985.1697,0.36854490000069173,0.0020637726598069592,63,0.03957440421593321,-0.04146723813018021,0.003242434923721893,0.08803007227963078,0.002063542749570546,
2005-11-17 20:00:00+00:00,WST,optimised_new,daily-rescreened,BUY,6.0,BUY,12.0557,0.0789,55.36,1.55,0.1,7028.4731,2005-11-22 18:00:00+00:00,regime_forced(signal=-0.06),11.1354,11.0913,12055.7147,-550.0553112999986,-0.07633733420705552,4,0.012093864313146435,-0.07633733420705552,-0.0006062144681909798,-0.13789851857413016,-0.07633783597400523,
2005-11-20 21:00:00+00:00,ACGL,optimised_new,daily-rescreened,BUY,7.0,BUY,6.0347,0.6874,50.08,1.54,0.1,7024.3908,2005-11-22 00:00:00+00:00,regime_forced(signal=-0.28),6.0533,5.5519,6034.7148,7.579968000000227,0.003082174755994527,1,0.019271877640976327,-0.03252854325815698,0.024068352195428133,0.2704335428354192,0.0030813910106024522,
2005-11-22 00:00:00+00:00,TTWO,optimised_new,daily-rescreened,BUY,6.0,BUY,19.08,0.3992,58.4,2.06,0.1,7498.44,2005-11-22 22:00:00+00:00,"trailing_stop(4.6% from peak, still +11.7% from entry)",21.3194,17.5536,19080.0,864.2072358000026,0.11736897274633143,0,0.17091194968553475,0.0,0.014956276828547832,-0.15088627544910194,0.11736635688814623,
2005-11-22 20:00:00+00:00,ACGL,optimised_new,daily-rescreened,BUY,6.0,BUY,6.2011,0.6132,55.8,1.63,0.1,6746.7968,2005-11-27 18:00:00+00:00,regime_forced(signal=-0.21),5.887,5.705,6201.1139,-354.8926528000001,-0.050652303623550776,4,0.03763848349486375,-0.050652303623550776,0.024033078779470696,0.2355248838143782,-0.05065889678531088,
2005-11-27 22:00:00+00:00,UDR,optimised_new,daily-rescreened,BUY,8.0,BUY,14.4015,0.9223,54.88,1.45,0.1,8295.264000000001,2005-12-15 18:00:00+00:00,"trailing_stop(3.2% from peak, still +0.1% from entry)",14.413,13.2494,14401.5214,-9.973152000000168,0.0007985279311182754,17,0.033642328924070326,-0.051175224802971916,-0.0043659906103196144,-0.04392542662900489,0.0008011869872766031,
2005-11-27 23:00:00+00:00,WM,optimised_new,daily-rescreened,BUY,8.0,BUY,22.1429,0.7392,53.1,2.16,0.1,7462.157300000001,2005-12-15 00:00:00+00:00,"trailing_stop(3.1% from peak, still +0.3% from entry)",22.2038,20.3715,22142.9108,5.57846210000065,0.002750317257450477,17,0.03471541667983864,-0.05052183769966899,0.029580373652349223,0.097692796252832,0.002747632597336791,
2005-11-27 18:00:00+00:00,TTWO,optimised_new,daily-rescreened,BUY,6.0,BUY,20.1008,0.368,52.74,1.41,0.1,6713.6672,2005-11-27 23:00:00+00:00,"rr_stop_loss(8.5% loss, risk=8%)",18.3823,18.4928,20100.8189,-586.8323554000002,-0.08549410968717658,0,0.0,-0.08549410968717658,0.011797128400409251,-0.2678628026135741,-0.08549310974077295,
2005-11-29 22:00:00+00:00,EXPE,optimised_new,daily-rescreened,BUY,8.0,BUY,22.4949,0.9962,60.46,3.9,0.1,6658.490400000001,2005-12-07 00:00:00+00:00,"trailing_stop(5.3% from peak, still +0.7% from entry)",22.646,20.6953,22494.8704,31.363893599999873,0.0067170780932566745,7,0.06293426510008925,-0.0563727778296414,0.008588600763472787,0.0868274172186636,0.00672052973932602,
2005-11-29 21:00:00+00:00,ACGL,optimised_new,daily-rescreened,BUY,6.0,BUY,6.0031,0.5346,52.59,1.96,0.1,5997.0969,2005-12-08 21:00:00+00:00,"trailing_stop(3.1% from peak, still +0.6% from entry)",6.0369,5.5228,6003.0949,21.73824000000022,0.005630424280788305,9,0.03744731888524264,-0.043960620346154416,0.02851747768821622,0.26699887733296035,0.005638326300777985,
2005-11-30 22:00:00+00:00,VLO,optimised_new,daily-rescreened,BUY,8.0,BUY,33.2929,0.5547,57.22,1.3,0.1,5393.4498,2005-12-08 19:00:00+00:00,"trailing_stop(6.5% from peak, still +3.8% from entry)",34.5513,30.6295,33292.9408,192.87003959999842,0.03779784879058281,7,0.1096930576789644,-0.048466790216532704,0.008662425481174463,0.21318788106452802,0.03779360190871328,
2005-11-30 21:00:00+00:00,TTWO,optimised_new,daily-rescreened,BUY,6.0,BUY,19.7741,0.3377,54.86,1.88,0.1,4844.654500000001,2005-12-06 20:00:00+00:00,regime_forced(signal=-0.01),18.504,18.1922,19774.1035,-320.5526345000001,-0.06423048330897484,5,0.0,-0.0783701913108562,0.014934945184239767,-0.2630161981080571,-0.06422909582476621,
